seq,recv_bytes,latency_us,recv_ns
265,512,100,824947242144573
266,512,99,824947243493516
267,512,78,824947244685921
268,512,101,824947246042393
269,512,84,824947247361875
270,512,99,824947248709739
271,512,81,824947250054232
272,512,99,824947251402960
273,512,104,824947252756828
274,512,100,824947254100484
275,512,99,824947255450273
276,512,76,824947256835052
277,512,100,824947258195753
278,512,99,824947259543778
279,512,116,824947260873347
280,512,98,824947262208965
281,512,97,824947263555148
282,512,98,824947264901160
283,512,137,824947266285003
284,512,128,824947267670258
285,512,130,824947269066187
286,512,128,824947270230880
287,512,182,824947271677728
288,512,201,824947273108833
289,512,187,824947274508043
290,512,186,824947275920938
291,512,157,824947277303685
292,512,133,824947278655421
293,512,129,824947280005478
294,512,135,824947281250576
295,512,128,824947282604182
296,512,137,824947283968664
297,512,139,824947285325222
298,512,127,824947286668377
299,512,127,824947288023034
300,512,138,824947289387153
301,512,128,824947290731624
302,512,128,824947292132849
303,512,127,824947293490279
304,512,133,824947294892411
305,512,120,824947296158009
306,512,127,824947297521977
307,512,127,824947298875182
308,512,125,824947300225749
309,512,131,824947301584355
310,512,120,824947302952159
311,512,132,824947304321198
312,512,140,824947305587306
313,512,129,824947306944725
314,512,131,824947308304906
315,512,131,824947309663355
316,512,130,824947311018914
317,512,140,824947312383002
318,512,130,824947313783238
319,512,129,824947315067515
320,512,124,824947316403107
321,512,128,824947317798347
322,512,125,824947319149616
323,512,135,824947320553250
324,512,185,824947321986804
325,512,186,824947323402134
326,512,182,824947324838199
327,512,184,824947326266153
328,512,147,824947327634255
329,512,131,824947328987744
330,512,130,824947330343815
331,512,132,824947331702855
332,512,129,824947333056633
333,512,131,824947334414580
334,512,143,824947335833211
335,512,142,824947337243245
336,512,123,824947338629395
337,512,129,824947339992868
338,512,128,824947341347665
339,512,128,824947342702397
340,512,130,824947343842872
341,512,127,824947345191458
342,512,127,824947346545937
343,512,140,824947347949999
344,512,181,824947349354421
345,512,134,824947350702352
346,512,128,824947352058412
347,512,128,824947353415130
348,512,131,824947354775267
349,512,152,824947356153149
350,512,157,824947357513701
351,512,129,824947358840944
352,512,128,824947360196019
353,512,135,824947361558199
354,512,130,824947362913539
355,512,131,824947364273125
356,512,136,824947365691563
357,512,128,824947367043841
358,512,128,824947368181451
359,512,121,824947369572395
360,512,127,824947370938515
361,512,218,824947372419742
362,512,186,824947373823448
363,512,184,824947375234937
364,512,173,824947376414488
365,512,141,824947377745303
366,512,146,824947379116111
367,512,135,824947380518607
368,512,131,824947381882786
369,512,132,824947383242526
370,512,131,824947384600807
371,512,131,824947385960270
372,512,144,824947387330796
373,512,141,824947388700523
374,512,132,824947390049758
375,512,128,824947391155299
376,512,131,824947392514352
377,512,131,824947393873963
378,512,118,824947395257468
379,512,131,824947396629458
380,512,132,824947397989748
381,512,136,824947399367602
382,512,130,824947400718264
383,512,131,824947402076732
384,512,121,824947403466838
385,512,127,824947404829907
386,512,128,824947406183528
387,512,133,824947407518528
388,512,132,824947408938012
389,512,126,824947410289813
390,512,129,824947411648222
391,512,141,824947413017429
392,512,131,824947414365012
393,512,136,824947415778992
394,512,130,824947417043426
395,512,116,824947418393188
396,512,133,824947419775637
397,512,137,824947421179883
398,512,176,824947422517065
399,512,184,824947423933414
400,512,202,824947425363956
401,512,175,824947426739870
402,512,143,824947428108117
403,512,131,824947429461681
404,512,126,824947430833120
405,512,130,824947432192390
406,512,130,824947433548412
407,512,130,824947434905653
408,512,129,824947436261821
409,512,130,824947437619350
410,512,161,824947438959162
411,512,133,824947440297813
412,512,129,824947441663397
413,512,130,824947443021742
414,512,130,824947444378253
415,512,127,824947445740319
416,512,147,824947446910742
417,512,138,824947448093336
418,512,128,824947449447838
419,512,128,824947450805481
420,512,125,824947452148384
421,512,128,824947453508355
422,512,128,824947454865026
423,512,130,824947456222528
424,512,128,824947457575762
425,512,130,824947458934554
426,512,127,824947460289968
427,512,141,824947461661130
428,512,129,824947462809931
429,512,140,824947464178114
430,512,127,824947465521193
431,512,126,824947466873971
432,512,131,824947468233711
433,512,131,824947469593262
434,512,130,824947470950049
435,512,216,824947472373343
436,512,182,824947473801191
437,512,170,824947475254125
438,512,192,824947476570586
439,512,145,824947477942577
440,512,131,824947479296844
441,512,130,824947480654114
442,512,130,824947482013020
443,512,132,824947483314617
444,512,130,824947484669367
445,512,131,824947486027856
446,512,130,824947487385586
447,512,130,824947488744153
448,512,132,824947490103878
449,512,150,824947491481861
450,512,88,824947492786345
451,512,83,824947494100858
452,512,79,824947495267012
453,512,100,824947496614589
454,512,82,824947497992163
455,512,109,824947499332406
456,512,101,824947500657287
457,512,80,824947501974651
458,512,73,824947503329405
459,512,96,824947504662995
460,512,95,824947505946007
461,512,89,824947507321012
462,512,100,824947508664917
463,512,83,824947509994066
464,512,110,824947511359144
465,512,101,824947512714556
466,512,80,824947514004523
467,512,105,824947515217320
468,512,101,824947516493664
469,512,103,824947517648463
470,512,99,824947518724180
471,512,76,824947520024440
472,512,104,824947521185593
473,512,96,824947522448723
474,512,130,824947523832599
475,512,140,824947525214959
476,512,152,824947526639884
477,512,115,824947527994839
478,512,101,824947529341268
479,512,81,824947530657951
480,512,99,824947532007194
481,512,99,824947533356985
482,512,99,824947534706238
483,512,101,824947536057732
484,512,77,824947537311657
485,512,107,824947538678205
486,512,83,824947539942356
487,512,88,824947541284567
488,512,99,824947542625711
489,512,100,824947543975748
490,512,127,824947545198245
491,512,107,824947546533307
492,512,104,824947547881114
493,512,100,824947549229902
494,512,100,824947550579481
495,512,95,824947552001359
496,512,100,824947553364923
497,512,102,824947554715995
498,512,88,824947556073893
499,512,93,824947557331539
500,512,115,824947558726961
501,512,102,824947560098885
502,512,81,824947561442710
503,512,101,824947562794292
504,512,101,824947564145093
505,512,100,824947565495354
506,512,82,824947566813928
507,512,108,824947567999770
508,512,100,824947569350601
509,512,77,824947570729616
510,512,150,824947572155911
511,512,132,824947573525442
512,512,145,824947574793008
513,512,124,824947576159323
514,512,130,824947577536432
515,512,103,824947578870902
516,512,101,824947580219500
517,512,101,824947581570079
518,512,86,824947582961620
519,512,121,824947584330462
520,512,112,824947585683029
521,512,100,824947587032085
522,512,98,824947588379192
523,512,98,824947589726767
524,512,79,824947591042190
525,512,113,824947592405023
526,512,111,824947593766113
527,512,111,824947595126364
528,512,79,824947596439085
529,512,104,824947597794164
530,512,80,824947599119131
531,512,82,824947600496745
532,512,100,824947601845792
533,512,100,824947603196179
534,512,99,824947604545143
535,512,81,824947605704565
536,512,87,824947606995931
537,512,98,824947608343106
538,512,100,824947609693317
539,512,82,824947610942053
540,512,98,824947612285963
541,512,102,824947613449258
542,512,81,824947614767390
543,512,98,824947616114993
544,512,97,824947617461796
545,512,98,824947618807295
546,512,98,824947620155164
547,512,150,824947621570974
